,Ki,P1_init,P2_init,P3_init,P4_init,P5_init,k1,k2,k3,k4,k6,k7,k8_FA,k8_FA_coA,k9,k10,k11,k12,k13,k14,k19,k20,k21,k22,k23,Tox_coA,unreg,reg
0,1.66E-001,1.85E+004,1.28E+002,1.26E+002,1.79E+002,4.05E+001,2.14E+001,6.66E-004,3.20E-003,2.41E+002,5.69E-001,1.70E+000,5.28E-006,4.74E-012,2.50E+001,1.28E-001,7.56E+001,4.26E-002,2.56E+000,8.59E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.32E+007,2.27E+005,1.08E+005
1,1.15E-002,3.42E+003,1.83E+002,3.29E+001,7.91E+001,1.80E+002,1.47E+002,1.05E-003,1.52E-003,6.54E+002,1.09E+000,9.39E-001,6.67E-006,6.24E-009,7.40E+000,1.31E-002,4.93E+001,8.17E-002,2.55E+001,5.63E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,8.58E+006,5.97E+002,1.44E+000
2,1.49E-001,1.35E+003,1.26E+002,1.07E+002,2.67E+001,2.79E+001,1.69E+002,2.08E-003,3.11E-003,3.65E+002,1.51E+000,2.25E-002,9.60E-007,2.67E-009,5.78E+000,1.28E-001,8.11E+001,8.51E-002,6.82E+001,4.61E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,5.68E+006,1.10E+004,7.22E+003
3,1.36E-001,1.84E+003,1.35E+002,1.52E+002,1.67E+002,1.42E+002,1.45E+002,4.47E-003,6.01E-003,7.61E+002,1.28E+000,4.98E-001,4.61E-006,1.31E-009,2.12E+001,3.20E-002,9.01E+001,5.91E-002,8.88E+001,8.72E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.25E+007,2.62E+005,7.26E+004
4,1.33E-001,2.68E+003,9.62E+001,1.45E+001,1.42E+002,1.18E+001,5.86E+001,6.33E-005,2.80E-004,6.17E+002,6.55E-001,9.79E-001,1.75E-006,9.25E-009,1.80E+001,3.62E-005,2.88E+001,2.64E-002,3.95E+001,1.16E-001,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.70E+007,8.27E+004,8.41E-002
5,4.93E-002,1.36E+004,1.34E+002,6.45E+001,1.24E+002,1.15E+002,1.45E+002,1.04E-003,6.47E-003,2.66E+002,1.54E+000,7.12E-001,6.71E-006,6.46E-009,1.49E+000,1.01E-001,8.43E+001,3.11E-002,5.70E+001,3.24E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,7.91E+005,4.85E+005,4.88E+005
6,7.54E-002,1.73E+004,1.34E+002,2.00E+002,3.46E+001,1.11E+002,1.95E+001,3.06E-003,3.31E-003,3.94E+002,1.61E+000,6.39E-002,8.66E-006,1.57E-009,4.06E+000,5.42E-002,7.99E+001,3.70E-002,5.87E+000,4.07E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.07E+007,3.82E+004,3.18E+002
7,4.23E-002,1.08E+004,6.12E+001,1.98E+002,1.14E+002,1.13E+002,3.27E+001,1.63E-003,3.69E-003,6.56E+002,4.66E-001,7.57E-001,3.83E-006,5.26E-009,4.17E+000,8.83E-002,8.92E+001,4.30E-002,4.61E+001,8.66E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.76E+007,2.27E+004,5.43E+003
8,5.53E-002,8.03E+003,1.63E+002,9.50E+001,1.28E+002,8.57E+001,3.12E+001,2.09E-003,5.30E-003,8.86E+002,1.34E-001,1.68E+000,8.95E-006,5.24E-009,2.23E+001,2.09E-004,3.82E+001,1.09E-001,1.19E+001,7.90E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.49E+007,4.88E+004,6.59E-002
9,1.40E-001,8.98E+003,1.24E+002,1.05E+002,1.08E+002,1.60E+002,5.14E+001,5.99E-003,5.40E-003,6.78E+001,2.87E-001,1.27E+000,1.83E-006,6.46E-009,3.51E+001,1.24E-001,4.78E+000,6.98E-002,8.80E+001,9.51E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.70E+007,9.64E+002,1.04E+002
